name,address,rating,reviews,website,lat,lng,category,no_website,version,city,rating_norm,reviews_log,reviews_norm,opportunity_score,opportunity_level
Sphère,"18 Rue La Boétie, 75008 Paris, France",4.8,13276.0,https://restaurantsphere.com/,48.8742665,2.3169387,"establishment, food, point_of_interest, restaurant",False,V1,Paris,0.96,9.493788493895902,0.87081207202881,0.046756378391357024,LOW
Le Marais Restaurant Paris,"47 R. de Turbigo, 75003 Paris, France",4.6,2012.0,https://www.privateaser.com/lieu/44897-le-marais-restaurant,48.86513799999999,2.3540023,"establishment, food, point_of_interest, restaurant",False,V1,Paris,0.9199999999999999,7.607381425639791,0.6977825118217243,0.1066652464534827,LOW
Chouchou,"23 Bd de Sébastopol, 75001 Paris, France",4.7,24103.0,http://www.restaurantchouchouparis.fr/,48.8599744,2.3487234,"bar, establishment, food, point_of_interest, restaurant",False,V1,Paris,0.9400000000000001,10.090133080810137,0.9255114226313476,0.03434657321059573,LOW
Le Tout-Paris,"8 Quai du Louvre, 75001 Paris, France",4.6,2030.0,http://letoutparis.fr/?y_source=1_MjM2NzUwMDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,48.8587493,2.3422529,"establishment, food, point_of_interest, restaurant",False,V1,Paris,0.9199999999999999,7.616283561580385,0.6985990549171277,0.1064202835248617,LOW
Le Cinq,"31 Av. George V, 75008 Paris, France",4.6,1563.0,https://www.fourseasons.com/paris/dining/restaurants/le_cinq/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-par-fab-mid-seo-na&utm_content=na-na&utm_term=na,48.868849,2.300683,"bar, establishment, food, point_of_interest, restaurant",False,V1,Paris,0.9199999999999999,7.355001921105257,0.6746331526989012,0.11361005419032964,LOW
Le Paris Paris,"8 Rue de Montfaucon, 75006 Paris, France",4.4,1440.0,http://www.leparisparis.fr/,48.85257900000001,2.3357251,"cafe, establishment, food, point_of_interest, restaurant",False,V1,Paris,0.8800000000000001,7.273092595999522,0.6671200688378413,0.1238639793486476,LOW
Le Colimaçon,"44 Rue Vieille du Temple, 75004 Paris, France",4.7,2951.0,https://le-colimacon.fr/,48.85795100000001,2.3582686,"establishment, food, point_of_interest, restaurant",False,V1,Paris,0.9400000000000001,7.990238185720363,0.7328998191801471,0.09213005424595586,LOW
L'Oiseau Blanc,"19 Av. Kléber, 75116 Paris, France",4.6,1915.0,https://www.peninsula.com/en/paris/hotel-fine-dining/french-rooftop-loiseau-blanc,48.8707437,2.2933137,"establishment, food, point_of_interest, restaurant",False,V1,Paris,0.9199999999999999,7.557994958530806,0.6932525676607596,0.10802422970177213,LOW
La Petite Rose des Sables,"6 Rue de Lancry, 75010 Paris, France",4.9,1165.0,,48.8689454,2.3602061,"bar, establishment, food, point_of_interest, restaurant",True,V1,Paris,0.9800000000000001,7.061334366910438,0.6476966719124959,0.6096909984262512,MEDIUM
L'Orangerie,"31 Av. George V, 75008 Paris, France",4.8,397.0,https://www.fourseasons.com/paris/dining/restaurants/l-orangerie/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-par-fab-mid-seo-na&utm_content=na-na&utm_term=na,48.8688845,2.300262500000001,"establishment, food, point_of_interest, restaurant",False,V1,Paris,0.96,5.986452005284438,0.5491037301046414,0.14326888096860757,LOW
Les Baux de Paris,"71 Rue Mouffetard, 75005 Paris, France",4.7,1892.0,https://www.instagram.com/lesbaux_paris/,48.8423354,2.3500704,"bar, establishment, food, point_of_interest, restaurant",False,V1,Paris,0.9400000000000001,7.545918151209323,0.692144829731494,0.10435655108055178,LOW
LArchimede | Restaurant Republique Paris 10 (Canal Saint Martin) | Terrasse,"11 Rue Marie et Louise, 75010 Paris, France",4.8,1344.0,https://larchimede.paris/,48.871889,2.366516,"bar, establishment, food, point_of_interest, restaurant",False,V1,Paris,0.96,7.20414929203594,0.6607962855119709,0.10976111434640874,LOW
Restaurant Musa Oberkampf - Paris 11,"117 Rue Saint-Maur, 75011 Paris, France",4.9,1836.0,https://www.musa.paris/,48.86631240000001,2.376627,"bar, establishment, food, point_of_interest, restaurant",False,V1,Paris,0.9800000000000001,7.515889085215125,0.6893904316114696,0.09718287051655909,LOW
Restaurant Bus Toqué Paris,"107 Av. des Champs-Élysées, 75008 Paris, France",4.8,965.0,https://www.bustoque.fr/,48.871919,2.299742,"establishment, food, point_of_interest, restaurant, tourist_attraction",False,V1,Paris,0.96,6.873163834212518,0.6304368423324714,0.11886894730025857,LOW
Au Pied de Cochon,"6 Rue Coquillière, 75001 Paris, France",4.4,22681.0,https://www.pieddecochon.com/,48.86351759999999,2.3437221,"cafe, establishment, food, meal_takeaway, point_of_interest, restaurant",False,V1,Paris,0.8800000000000001,10.029326937375275,0.9199340154887049,0.0480197953533885,LOW
Le Christine,"1 Rue Christine, 75006 Paris, France",4.6,2188.0,https://lechristine.becsparisiens.fr/,48.8543056,2.3402167,"establishment, food, point_of_interest, restaurant",False,V1,Paris,0.9199999999999999,7.691200097522863,0.7054707293740883,0.10435878118777353,LOW
Noûsh,"Enseigne bleue, 60 Rue Saint-Lazare, 75009 Paris, France",4.7,1021.0,https://www.restaurant-trinite.fr/noush,48.876922,2.3331904,"bar, establishment, food, point_of_interest, restaurant",False,V1,Paris,0.9400000000000001,6.92951677076365,0.6356057817368568,0.12131826547894295,LOW
