name,address,rating,reviews,website,lat,lng,category,no_website
Sphère,"18 Rue La Boétie, 75008 Paris, France",4.8,13276,https://restaurantsphere.com/,48.8742665,2.3169387,"establishment, food, point_of_interest, restaurant",False
Le Marais Restaurant Paris,"47 R. de Turbigo, 75003 Paris, France",4.6,2012,https://www.privateaser.com/lieu/44897-le-marais-restaurant,48.86513799999999,2.3540023,"establishment, food, point_of_interest, restaurant",False
Chouchou,"23 Bd de Sébastopol, 75001 Paris, France",4.7,24103,http://www.restaurantchouchouparis.fr/,48.8599744,2.3487234,"bar, establishment, food, point_of_interest, restaurant",False
Le Tout-Paris,"8 Quai du Louvre, 75001 Paris, France",4.6,2030,http://letoutparis.fr/?y_source=1_MjM2NzUwMDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,48.8587493,2.3422529,"establishment, food, point_of_interest, restaurant",False
Le Cinq,"31 Av. George V, 75008 Paris, France",4.6,1563,https://www.fourseasons.com/paris/dining/restaurants/le_cinq/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-par-fab-mid-seo-na&utm_content=na-na&utm_term=na,48.868849,2.300683,"bar, establishment, food, point_of_interest, restaurant",False
Le Paris Paris,"8 Rue de Montfaucon, 75006 Paris, France",4.4,1440,http://www.leparisparis.fr/,48.85257900000001,2.3357251,"cafe, establishment, food, point_of_interest, restaurant",False
Le Colimaçon,"44 Rue Vieille du Temple, 75004 Paris, France",4.7,2951,https://le-colimacon.fr/,48.85795100000001,2.3582686,"establishment, food, point_of_interest, restaurant",False
L'Oiseau Blanc,"19 Av. Kléber, 75116 Paris, France",4.6,1915,https://www.peninsula.com/en/paris/hotel-fine-dining/french-rooftop-loiseau-blanc,48.8707437,2.2933137,"establishment, food, point_of_interest, restaurant",False
La Petite Rose des Sables,"6 Rue de Lancry, 75010 Paris, France",4.9,1165,,48.8689454,2.3602061,"bar, establishment, food, point_of_interest, restaurant",True
L'Orangerie,"31 Av. George V, 75008 Paris, France",4.8,397,https://www.fourseasons.com/paris/dining/restaurants/l-orangerie/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-par-fab-mid-seo-na&utm_content=na-na&utm_term=na,48.8688845,2.300262500000001,"establishment, food, point_of_interest, restaurant",False
Les Baux de Paris,"71 Rue Mouffetard, 75005 Paris, France",4.7,1892,https://www.instagram.com/lesbaux_paris/,48.8423354,2.3500704,"bar, establishment, food, point_of_interest, restaurant",False
LArchimede | Restaurant Republique Paris 10 (Canal Saint Martin) | Terrasse,"11 Rue Marie et Louise, 75010 Paris, France",4.8,1344,https://larchimede.paris/,48.871889,2.366516,"bar, establishment, food, point_of_interest, restaurant",False
Restaurant Musa Oberkampf - Paris 11,"117 Rue Saint-Maur, 75011 Paris, France",4.9,1836,https://www.musa.paris/,48.86631240000001,2.376627,"bar, establishment, food, point_of_interest, restaurant",False
Restaurant Bus Toqué Paris,"107 Av. des Champs-Élysées, 75008 Paris, France",4.8,965,https://www.bustoque.fr/,48.871919,2.299742,"establishment, food, point_of_interest, restaurant, tourist_attraction",False
Au Pied de Cochon,"6 Rue Coquillière, 75001 Paris, France",4.4,22681,https://www.pieddecochon.com/,48.86351759999999,2.3437221,"cafe, establishment, food, meal_takeaway, point_of_interest, restaurant",False
Le Christine,"1 Rue Christine, 75006 Paris, France",4.6,2188,https://lechristine.becsparisiens.fr/,48.8543056,2.3402167,"establishment, food, point_of_interest, restaurant",False
Noûsh,"Enseigne bleue, 60 Rue Saint-Lazare, 75009 Paris, France",4.7,1021,https://www.restaurant-trinite.fr/noush,48.876922,2.3331904,"bar, establishment, food, point_of_interest, restaurant",False
Le Bistro des Augustins,"39 Quai des Grands Augustins, 75006 Paris, France",4.5,2488,https://lebistrodesaugustins.shop/,48.8546972,2.3420468,"establishment, food, point_of_interest, restaurant",False
Tigermilk,"77 Rue d'Aboukir, 75002 Paris, France",4.7,10120,https://tigermilkrestaurants.com/fr/restaurants/sentier-iie/,48.8679134,2.3473008,"establishment, food, point_of_interest, restaurant",False
Epicure,"112 Rue du Faubourg Saint-Honoré, 75008 Paris, France",4.7,1727,https://www.oetkerhotels.com/hotels/le-bristol-paris/restaurants-bars/epicure/?utm_source=google&utm_medium=organic&utm_campaign=google_local_epicure,48.8717373,2.3148528,"establishment, food, point_of_interest, restaurant",False
La Poule Noire,"61 Rue Sainte, 13001 Marseille, France",4.7,1440,http://www.restaurant-lapoulenoire.com/,43.2919232,5.3732203,"establishment, food, point_of_interest, restaurant",False
Alivetu - Table Méditerranéenne,"145 Rue Sainte, 13007 Marseille, France",4.9,874,https://alivetu-restaurant.fr/,43.29073,5.3670703,"establishment, food, point_of_interest, restaurant",False
"La Pagaille Restaurant, Lounge & Cocktail","37 Rue Caisserie, 13002 Marseille, France",4.8,748,https://la-pagaille.fr/,43.2970037,5.366064199999999,"bar, establishment, food, night_club, point_of_interest, restaurant",False
Le Bouchon Provençal,"6 Pl. aux Huiles, 13001 Marseille, France",4.6,2208,http://www.lebouchonprovencal.com/,43.2930343,5.3714979,"establishment, food, point_of_interest, restaurant",False
Ciel | Rooftop | Marseille,"17 Rue Haxo, 13001 Marseille, France",4.4,6672,https://www.ciel-rooftop.com/,43.2938075,5.3774274,"establishment, food, point_of_interest, restaurant",False
1860 Le Palais,"9 La Canebière Vieux Port, 13001 Marseille, France",4.5,1828,https://www.1860lepalais.fr/,43.2960548,5.3751573,"establishment, food, point_of_interest, restaurant",False
Bistrot l’Horloge,"11 Cr Honoré d'Estienne d'Orves, 13001 Marseille, France",4.6,2580,https://www.instagram.com/bistrotlhorloge?igsh=MTZ3M3pkajRnazVmZg%3D%3D&utm_source=qr,43.2928013,5.3744795,"bar, establishment, food, point_of_interest, restaurant",False
Aux Antipodes,"26 Rue Sainte, 13001 Marseille, France",4.8,1262,https://www.facebook.com/auxantipodesmarseille/,43.2925722,5.3753665,"establishment, food, point_of_interest, restaurant",False
La cigale vieux port,"92 Quai du Port, 13002 Marseille, France",4.4,2396,https://instagram.com/lacigale_marseille?igshid=YmMyMTA2M2Y=,43.2961168,5.3685814,"establishment, food, point_of_interest, restaurant",False
Acuda - Restaurant Marseille,"34 Pl. aux Huiles, 13001 Marseille, France",4.8,447,https://acudamarseille.com/,43.2923632,5.3716772,"establishment, food, point_of_interest, restaurant",False
Le Panier Marseillais,"1A Rue du Petit Puits, 13002 Marseille, France",4.5,4378,https://www.lepanierdemarseille.com/,43.29997909999999,5.3686834,"establishment, food, point_of_interest, restaurant, shopping_mall, store, tourist_attraction",False
Wood la cantine gourmande,"8 Rue de la Guirlande, 13002 Marseille, France",4.7,1088,https://woodlacantinegourmande.com/,43.2967907,5.3704969,"establishment, food, point_of_interest, restaurant",False
COIN COIN - Restaurant Marseille,"44 Rue Sainte, 13001 Marseille, France",4.6,940,https://www.coincoin-marseille.fr/,43.2923109,5.3737945,"bar, cafe, establishment, food, point_of_interest, restaurant, store",False
Ourea,"72 Rue de la Paix Marcel Paul, 13006 Marseille, France",4.9,791,http://www.ourea-restaurant.com/,43.2905868,5.3733714,"establishment, food, point_of_interest, restaurant",False
Chez Nous,"22 Pl. Notre Dame du Mont, 13006 Marseille, France",4.8,822,https://chez-nous-marseille.com/fr,43.291782,5.3841738,"establishment, food, point_of_interest, restaurant",False
Le Caribou Marseille,"38 Pl. Thiars, 13001 Marseille, France",4.5,2280,http://www.lecaribou13001.fr/,43.2933121,5.3727171,"bar, establishment, food, point_of_interest, restaurant",False
Ekume,"139 Rue Sainte, 13007 Marseille, France",4.8,646,http://www.ekume-restaurant.fr/,43.29080159999999,5.3674697,"establishment, food, point_of_interest, restaurant",False
Chez Fonfon,"140 Rue du Vallon des Auffes, 13007 Marseille, France",4.2,3585,http://www.chez-fonfon.com/,43.28561879999999,5.3513021,"bar, establishment, food, point_of_interest, restaurant",False
Restaurant l'Inattendu,"35 Rue de la Paix Marcel Paul, 13001 Marseille, France",4.5,1253,,43.2920521,5.3729239,"establishment, food, point_of_interest, restaurant",True
Le Bistro Du Panier,"58 Rue Caisserie, 13002 Marseille, France",4.8,740,,43.2969832,5.366580799999999,"establishment, food, point_of_interest, restaurant",True
Carmelo,"7 Rue Neuve, 69001 Lyon, France",4.8,37005,https://www.bigmammagroup.com/fr/restaurants-italiens/carmelo?utm_source=google&utm_medium=organic&utm_campaign=mybusiness-website,45.7653129,4.8349721,"establishment, food, point_of_interest, restaurant",False
ART Restaurant Lyon,"3 Rue Sala, 69002 Lyon, France",4.8,1322,https://www.art-restaurant.fr/,45.7567929,4.8273723,"bar, establishment, food, point_of_interest, restaurant",False
L'Osteria Lyon La Part-Dieu,"133 Rue Servient, 69003 Lyon, France",4.8,6737,https://losteria.net/fr/restaurants/restaurant/lyon-part-dieu/,45.7615107,4.8542206,"establishment, food, point_of_interest, restaurant",False
Chez Grand-Mère,"11 Rue du Bœuf, 69005 Lyon, France",4.4,3577,http://www.chezgrandmere.fr/,45.7629204,4.8272185,"establishment, food, point_of_interest, restaurant",False
